loan_id,college_degree,loan_amount,loan_repaid
ID1894,True,4975.568245739019,1
ID1895,False,3633.8191898169175,1
ID1896,True,8439.733742869663,0
ID1897,False,5138.931539817096,0
ID1898,True,7141.984106993568,0
ID1899,True,5800.940933601638,1
ID1900,True,3793.621827851636,1
ID1901,True,6300.893054139995,1
ID1902,False,4414.667170670257,0
ID1903,False,7948.862909897565,0
ID1904,False,5122.413294925969,0
ID1905,True,6478.587563499429,1
ID1906,False,6177.2353190630565,0
ID1907,False,6360.738905347778,0
ID1908,True,5966.470371915791,0
ID1909,False,7748.1318072323575,0
ID1910,True,4932.9533674029,1
ID1911,True,2757.862341951293,1
ID1912,True,5336.8834299393475,1
ID1913,True,5912.260847915881,1
ID1914,False,10528.58024747376,0
ID1915,True,8074.456323582255,0
ID1916,True,5094.811679132925,1
ID1917,True,5015.222125647885,0
ID1918,True,6466.490217132246,0
ID1919,True,4245.219405262162,1
ID1920,True,3170.2685939979588,0
ID1921,True,6821.1414081739595,1
ID1922,True,7762.754928795259,0
ID1923,True,7186.027605871156,0
ID1924,True,7641.568106797977,0
ID1925,False,5063.541491065727,0
ID1926,True,6708.037543535565,0
ID1927,False,4474.258183145676,0
ID1928,False,5422.788258977116,0
ID1929,False,5868.9235676124035,0
ID1930,True,4941.053995446215,0
ID1931,True,5973.6421088970765,0
ID1932,True,6559.18012602227,0
ID1933,False,5738.290883429992,0
ID1934,False,5876.787318399323,0
ID1935,False,5546.876432924098,0
ID1936,False,6821.0224334195145,0
ID1937,True,3229.864500112711,0
ID1938,True,8548.749571380798,0
ID1939,False,2340.9991027351534,1
ID1940,True,6193.497044456142,1
ID1941,False,7100.751902517366,0
ID1942,True,6012.1009083199115,1
ID1943,False,5841.2307498651535,0
ID1944,True,5794.696656925469,0
ID1945,True,8842.727608407673,0
ID1946,True,7496.326387640833,0
ID1947,True,2418.029050570028,1
ID1948,False,5499.423736300377,0
ID1949,False,4158.255385982328,0
ID1950,True,6728.756863629082,1
ID1951,True,2400.3257615842954,1
ID1952,True,6058.333752542579,1
ID1953,True,3638.5381921606345,1
ID1954,False,7382.661189889857,0
ID1955,True,6087.101776003694,1
ID1956,False,9740.773894416656,0
ID1957,True,6172.040356932827,1
ID1958,True,6507.151695738872,0
ID1959,True,6349.230784228512,1
ID1960,True,3064.693022937513,1
ID1961,False,3413.1242158659934,1
ID1962,True,4384.534744302911,1
