loan_id,college_degree,loan_amount,loan_repaid
ID0000,False,9507.523672888587,False
ID0001,True,6651.217320897333,True
ID0002,True,4563.670487453362,True
ID0003,False,5856.202114860735,False
ID0004,True,3987.566434525903,True
ID0005,False,5712.614367148041,False
ID0006,True,6120.492566545384,True
ID0007,False,4321.659390630266,False
ID0008,True,5552.688923402884,True
ID0009,False,7354.3379043065825,False
ID0010,False,5726.88446616076,False
ID0011,True,9563.255337713925,False
ID0012,True,4383.713518072378,True
ID0013,False,4667.477209695302,False
ID0014,True,5842.492365284641,True
ID0015,True,8085.063505971872,False
ID0016,True,6642.413864395392,False
ID0017,True,3113.3144998330936,True
ID0018,True,3374.2691519447208,True
ID0019,False,7870.779473336548,False
ID0020,True,8466.63743251443,False
ID0021,True,5610.964998457159,True
ID0022,True,6918.417657718526,False
ID0023,True,4773.05746550297,True
ID0024,False,6493.619613977798,False
ID0025,False,8940.909261685165,False
ID0026,True,7765.1251346021745,False
ID0027,False,5844.868946785988,False
ID0028,True,3809.8427605061543,True
ID0029,True,5425.48908316012,True
ID0030,False,7990.161616122069,False
ID0031,True,6498.129086038455,True
ID0032,False,3291.2237529549134,True
ID0033,False,7300.118334452638,False
ID0034,False,6869.317524162569,False
ID0035,True,7463.369173760071,False
ID0036,False,9172.05621526355,False
ID0037,True,5448.65632180347,True
ID0038,True,4856.056269140107,True
ID0039,False,5012.588344852744,False
ID0040,True,3144.765146096339,True
ID0041,True,6124.294634701636,True
ID0042,False,4732.163877007797,False
ID0043,True,6723.380298907286,True
ID0044,False,4753.375248527661,False
ID0045,True,7034.115750470237,False
ID0046,True,6535.69493711359,True
ID0047,False,5628.531007831468,False
ID0048,True,2536.78564334142,True
ID0049,False,9454.04979599021,False
ID0050,True,5162.43920625829,True
ID0051,False,7569.680091276812,False
ID0052,True,5145.45344395495,True
ID0053,True,6699.593011832027,True
ID0054,False,9082.43272989772,False
ID0055,True,5143.030150643071,True
ID0056,True,4138.520622700719,True
ID0057,False,5359.760655162071,True
